FILM_ID;CATEGORY_ID;RENTED_COUNT
1;6;23
8;11;18
4;11;23
6;9;21
7;5;15
98;7;13
9;11;12
11;9;24
10;15;23
12;12;26
213;8;13
13;11;9
14;4;0
15;9;22
2;11;7
19;1;21
18;2;22
21;1;22
20;12;10
22;13;21
23;2;21
25;13;22
24;11;14
26;14;22
27;15;13
3;6;12
16;9;14
384;12;8
5;8;12
133;12;13
17;12;18
28;5;15
29;1;10
31;8;31
30;11;9
34;11;13
33;7;0
32;13;6
36;2;0
37;4;21
265;5;17
39;14;21
42;15;16
43;8;24
44;14;16
46;10;11
45;13;24
48;3;19
47;9;8
35;11;24
49;14;21
50;8;16
40;6;16
52;9;8
51;12;23
54;12;22
55;14;25
56;1;18
57;16;21
41;16;0
126;1;9
38;1;0
53;8;7
59;3;22
58;6;17
60;4;11
61;7;22
64;7;11
65;11;13
66;3;10
63;8;13
62;6;6
68;3;15
69;14;21
67;1;21
70;2;17
71;8;13
72;6;19
73;14;29
74;12;11
75;16;11
77;13;18
78;2;27
76;12;9
80;8;12
83;8;21
84;16;15
81;14;14
79;7;22
85;6;16
86;12;29
82;8;10
87;16;0
88;16;12
89;2;22
90;13;18
91;4;24
92;11;11
93;13;12
94;8;5
95;13;17
96;13;13
100;9;21
97;1;19
103;16;34
104;9;11
101;6;26
99;5;20
102;15;6
105;1;16
109;13;30
106;10;7
108;13;0
112;9;21
113;15;12
107;7;5
114;14;27
110;3;15
117;10;23
118;2;19
119;5;24
121;2;18
120;15;9
115;1;19
122;11;23
125;16;6
127;5;30
123;16;16
129;6;21
134;2;13
132;14;21
124;3;8
128;9;0
116;4;18
130;1;24
131;4;24
111;1;16
135;15;27
136;13;8
154;2;25
137;14;15
138;14;21
139;8;20
140;14;20
141;10;16
142;6;22
143;7;22
144;13;0
146;7;8
147;8;20
145;8;13
148;9;0
150;6;19
149;3;21
151;14;13
152;3;15
155;13;18
153;14;13
156;6;7
157;3;10
158;12;19
159;5;28
160;2;19
161;12;7
163;13;8
162;1;25
184;4;18
164;6;21
165;14;16
167;16;26
166;4;24
168;3;6
169;16;17
170;9;16
171;11;0
172;7;25
173;7;14
175;8;17
174;12;29
176;15;22
177;14;13
178;5;7
179;7;16
181;16;26
183;8;17
185;9;7
189;10;16
190;4;14
191;3;23
182;5;7
186;7;16
180;4;5
192;9;0
193;2;21
194;1;12
197;15;8
196;4;7
195;14;0
198;9;0
199;6;23
200;10;27
201;9;15
202;5;13
203;14;16
204;7;20
205;1;14
187;15;11
208;2;9
207;9;12
206;6;27
188;5;9
209;7;13
212;1;18
211;10;9
214;3;9
210;1;11
215;10;18
216;13;14
218;7;21
217;10;0
219;6;14
220;12;29
221;6;0
223;2;8
225;7;8
222;11;19
226;13;16
224;16;6
228;4;27
227;10;19
230;7;9
229;1;15
231;8;20
232;10;15
234;14;26
233;16;19
235;14;21
237;15;7
238;3;7
239;2;30
236;10;15
240;14;9
241;2;14
244;12;27
245;2;25
246;9;10
243;2;19
242;5;21
249;4;21
252;1;22
251;13;18
253;1;24
254;15;18
248;6;7
256;15;9
257;16;11
258;11;13
247;5;25
260;15;16
259;2;6
262;8;6
261;6;7
263;15;26
264;10;9
266;4;25
268;2;7
269;8;19
270;13;23
267;13;22
272;7;15
271;1;23
273;8;25
250;1;11
274;6;21
275;11;17
276;5;10
277;11;14
255;12;21
280;3;21
279;15;10
278;12;7
281;10;19
282;7;19
283;13;11
285;14;30
284;12;29
